feature	ref_CI	permuted_CI	algo	model
1	ASXL1	0.603671568528972	0.602252130043443	Lasso	all_gen
2	ASXL1	0.603671568528972	0.593117152950064	Lasso	all_gen
3	ASXL1	0.603671568528972	0.592841566389715	Lasso	all_gen
4	ASXL1	0.603671568528972	0.603585110000235	Lasso	all_gen
5	ASXL2	0.603671568528972	0.603671568528972	Lasso	all_gen
6	ASXL2	0.603671568528972	0.603671568528972	Lasso	all_gen
7	ASXL2	0.603671568528972	0.603671568528972	Lasso	all_gen
8	ASXL2	0.603671568528972	0.603671568528972	Lasso	all_gen
9	ASXL3	0.603671568528972	0.603671568528972	Lasso	all_gen
10	ASXL3	0.603671568528972	0.603671568528972	Lasso	all_gen
11	ASXL3	0.603671568528972	0.603671568528972	Lasso	all_gen
12	ASXL3	0.603671568528972	0.603671568528972	Lasso	all_gen
13	ATRX	0.603671568528972	0.603671568528972	Lasso	all_gen
14	ATRX	0.603671568528972	0.603671568528972	Lasso	all_gen
15	ATRX	0.603671568528972	0.603671568528972	Lasso	all_gen
16	ATRX	0.603671568528972	0.603671568528972	Lasso	all_gen
17	BAGE3	0.603671568528972	0.603671568528972	Lasso	all_gen
18	BAGE3	0.603671568528972	0.603671568528972	Lasso	all_gen
19	BAGE3	0.603671568528972	0.603671568528972	Lasso	all_gen
20	BAGE3	0.603671568528972	0.603671568528972	Lasso	all_gen
21	BCOR	0.603671568528972	0.603671568528972	Lasso	all_gen
22	BCOR	0.603671568528972	0.603671568528972	Lasso	all_gen
23	BCOR	0.603671568528972	0.603671568528972	Lasso	all_gen
24	BCOR	0.603671568528972	0.603671568528972	Lasso	all_gen
25	BRAF	0.603671568528972	0.603671568528972	Lasso	all_gen
26	BRAF	0.603671568528972	0.603671568528972	Lasso	all_gen
27	BRAF	0.603671568528972	0.603671568528972	Lasso	all_gen
28	BRAF	0.603671568528972	0.603671568528972	Lasso	all_gen
29	CBFB	0.603671568528972	0.603671568528972	Lasso	all_gen
30	CBFB	0.603671568528972	0.603671568528972	Lasso	all_gen
31	CBFB	0.603671568528972	0.603671568528972	Lasso	all_gen
32	CBFB	0.603671568528972	0.603671568528972	Lasso	all_gen
33	CBL	0.603671568528972	0.603671568528972	Lasso	all_gen
34	CBL	0.603671568528972	0.603671568528972	Lasso	all_gen
35	CBL	0.603671568528972	0.603671568528972	Lasso	all_gen
36	CBL	0.603671568528972	0.603671568528972	Lasso	all_gen
37	CDKN2A	0.603671568528972	0.603671568528972	Lasso	all_gen
38	CDKN2A	0.603671568528972	0.603671568528972	Lasso	all_gen
39	CDKN2A	0.603671568528972	0.603671568528972	Lasso	all_gen
40	CDKN2A	0.603671568528972	0.603671568528972	Lasso	all_gen
41	CEBPA_bi	0.603671568528972	0.603671568528972	Lasso	all_gen
42	CEBPA_bi	0.603671568528972	0.603671568528972	Lasso	all_gen
43	CEBPA_bi	0.603671568528972	0.603671568528972	Lasso	all_gen
44	CEBPA_bi	0.603671568528972	0.603671568528972	Lasso	all_gen
45	CEBPA_mono	0.603671568528972	0.603671568528972	Lasso	all_gen
46	CEBPA_mono	0.603671568528972	0.603671568528972	Lasso	all_gen
47	CEBPA_mono	0.603671568528972	0.603671568528972	Lasso	all_gen
48	CEBPA_mono	0.603671568528972	0.603671568528972	Lasso	all_gen
49	CNTN5	0.603671568528972	0.603671568528972	Lasso	all_gen
50	CNTN5	0.603671568528972	0.603671568528972	Lasso	all_gen
51	CNTN5	0.603671568528972	0.603671568528972	Lasso	all_gen
52	CNTN5	0.603671568528972	0.603671568528972	Lasso	all_gen
53	CREBBP	0.603671568528972	0.603671568528972	Lasso	all_gen
54	CREBBP	0.603671568528972	0.603671568528972	Lasso	all_gen
55	CREBBP	0.603671568528972	0.603671568528972	Lasso	all_gen
56	CREBBP	0.603671568528972	0.603671568528972	Lasso	all_gen
57	CSF1R	0.603671568528972	0.603671568528972	Lasso	all_gen
58	CSF1R	0.603671568528972	0.603671568528972	Lasso	all_gen
59	CSF1R	0.603671568528972	0.603671568528972	Lasso	all_gen
60	CSF1R	0.603671568528972	0.603671568528972	Lasso	all_gen
61	CSF3R	0.603671568528972	0.603671568528972	Lasso	all_gen
62	CSF3R	0.603671568528972	0.603671568528972	Lasso	all_gen
63	CSF3R	0.603671568528972	0.603671568528972	Lasso	all_gen
64	CSF3R	0.603671568528972	0.603671568528972	Lasso	all_gen
65	CTCF	0.603671568528972	0.603671568528972	Lasso	all_gen
66	CTCF	0.603671568528972	0.603671568528972	Lasso	all_gen
67	CTCF	0.603671568528972	0.603671568528972	Lasso	all_gen
68	CTCF	0.603671568528972	0.603671568528972	Lasso	all_gen
69	CUL2	0.603671568528972	0.603671568528972	Lasso	all_gen
70	CUL2	0.603671568528972	0.603671568528972	Lasso	all_gen
71	CUL2	0.603671568528972	0.603671568528972	Lasso	all_gen
72	CUL2	0.603671568528972	0.603671568528972	Lasso	all_gen
73	CUX1	0.603671568528972	0.603671568528972	Lasso	all_gen
74	CUX1	0.603671568528972	0.603671568528972	Lasso	all_gen
75	CUX1	0.603671568528972	0.603671568528972	Lasso	all_gen
76	CUX1	0.603671568528972	0.603671568528972	Lasso	all_gen
77	DNMT3A	0.603671568528972	0.603671568528972	Lasso	all_gen
78	DNMT3A	0.603671568528972	0.603671568528972	Lasso	all_gen
79	DNMT3A	0.603671568528972	0.603671568528972	Lasso	all_gen
80	DNMT3A	0.603671568528972	0.603671568528972	Lasso	all_gen
81	EED	0.603671568528972	0.603671568528972	Lasso	all_gen
82	EED	0.603671568528972	0.603671568528972	Lasso	all_gen
83	EED	0.603671568528972	0.603671568528972	Lasso	all_gen
84	EED	0.603671568528972	0.603671568528972	Lasso	all_gen
85	ETV6	0.603671568528972	0.603671568528972	Lasso	all_gen
86	ETV6	0.603671568528972	0.603671568528972	Lasso	all_gen
87	ETV6	0.603671568528972	0.603671568528972	Lasso	all_gen
88	ETV6	0.603671568528972	0.603671568528972	Lasso	all_gen
89	EZH2	0.603671568528972	0.603671568528972	Lasso	all_gen
90	EZH2	0.603671568528972	0.603671568528972	Lasso	all_gen
91	EZH2	0.603671568528972	0.603671568528972	Lasso	all_gen
92	EZH2	0.603671568528972	0.603671568528972	Lasso	all_gen
93	FBXW7	0.603671568528972	0.603671568528972	Lasso	all_gen
94	FBXW7	0.603671568528972	0.603671568528972	Lasso	all_gen
95	FBXW7	0.603671568528972	0.603671568528972	Lasso	all_gen
96	FBXW7	0.603671568528972	0.603671568528972	Lasso	all_gen
97	ITD	0.603671568528972	0.603671568528972	Lasso	all_gen
98	ITD	0.603671568528972	0.603671568528972	Lasso	all_gen
99	ITD	0.603671568528972	0.603671568528972	Lasso	all_gen
100	ITD	0.603671568528972	0.603671568528972	Lasso	all_gen
101	FLT3_TKD	0.603671568528972	0.603671568528972	Lasso	all_gen
102	FLT3_TKD	0.603671568528972	0.603671568528972	Lasso	all_gen
103	FLT3_TKD	0.603671568528972	0.603671568528972	Lasso	all_gen
104	FLT3_TKD	0.603671568528972	0.603671568528972	Lasso	all_gen
105	FLT3_other	0.603671568528972	0.603671568528972	Lasso	all_gen
106	FLT3_other	0.603671568528972	0.603671568528972	Lasso	all_gen
107	FLT3_other	0.603671568528972	0.603671568528972	Lasso	all_gen
108	FLT3_other	0.603671568528972	0.603671568528972	Lasso	all_gen
109	GATA1	0.603671568528972	0.603671568528972	Lasso	all_gen
110	GATA1	0.603671568528972	0.603671568528972	Lasso	all_gen
111	GATA1	0.603671568528972	0.603671568528972	Lasso	all_gen
112	GATA1	0.603671568528972	0.603671568528972	Lasso	all_gen
113	GATA2	0.603671568528972	0.603671568528972	Lasso	all_gen
114	GATA2	0.603671568528972	0.603671568528972	Lasso	all_gen
115	GATA2	0.603671568528972	0.603671568528972	Lasso	all_gen
116	GATA2	0.603671568528972	0.603671568528972	Lasso	all_gen
117	GNAS	0.603671568528972	0.603671568528972	Lasso	all_gen
118	GNAS	0.603671568528972	0.603671568528972	Lasso	all_gen
119	GNAS	0.603671568528972	0.603671568528972	Lasso	all_gen
120	GNAS	0.603671568528972	0.603671568528972	Lasso	all_gen
121	GNB1	0.603671568528972	0.603671568528972	Lasso	all_gen
122	GNB1	0.603671568528972	0.603671568528972	Lasso	all_gen
123	GNB1	0.603671568528972	0.603671568528972	Lasso	all_gen
124	GNB1	0.603671568528972	0.603671568528972	Lasso	all_gen
125	IDH1	0.603671568528972	0.603671568528972	Lasso	all_gen
126	IDH1	0.603671568528972	0.603671568528972	Lasso	all_gen
127	IDH1	0.603671568528972	0.603671568528972	Lasso	all_gen
128	IDH1	0.603671568528972	0.603671568528972	Lasso	all_gen
129	IDH2_p.R140	0.603671568528972	0.603671568528972	Lasso	all_gen
130	IDH2_p.R140	0.603671568528972	0.603671568528972	Lasso	all_gen
131	IDH2_p.R140	0.603671568528972	0.603671568528972	Lasso	all_gen
132	IDH2_p.R140	0.603671568528972	0.603671568528972	Lasso	all_gen
133	IDH2_p.R172	0.603671568528972	0.603671568528972	Lasso	all_gen
134	IDH2_p.R172	0.603671568528972	0.603671568528972	Lasso	all_gen
135	IDH2_p.R172	0.603671568528972	0.603671568528972	Lasso	all_gen
